Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,009021,1985,1.0,1.8,4.6,46.8,74.6,82.2,154.2,145.0,54.2,22.6,25.0,8.2,620.2
IDCJAC0001,009021,1986,2.4,93.0,28.8,1.4,152.2,193.0,198.4,119.2,52.0,40.8,19.6,0.2,901.0
IDCJAC0001,009021,1987,1.6,0.0,15.4,58.8,80.2,195.2,189.8,84.2,42.2,22.4,30.6,23.0,743.4
IDCJAC0001,009021,1988,0.2,0.0,11.8,89.4,125.0,229.4,158.4,92.2,110.8,52.0,33.8,11.4,914.4
IDCJAC0001,009021,1989,15.2,30.2,0.4,44.8,116.4,66.4,154.6,82.4,67.0,81.0,8.0,7.6,674.0
IDCJAC0001,009021,1990,62.6,19.8,58.8,67.6,59.4,76.8,138.4,88.0,56.2,48.8,21.6,6.8,704.8
IDCJAC0001,009021,1991,0.0,16.4,2.8,58.6,106.8,246.6,160.2,95.6,83.2,36.8,66.4,30.4,903.8
IDCJAC0001,009021,1992,4.0,150.4,31.8,16.8,65.0,226.4,113.0,193.2,57.4,23.6,75.8,2.6,960.0
IDCJAC0001,009021,1993,0.8,35.4,5.6,14.4,114.4,81.8,134.2,149.2,91.8,31.2,6.4,0.8,666.0
IDCJAC0001,009021,1994,0.0,0.2,2.0,3.4,86.4,150.0,153.2,131.4,66.0,10.8,5.4,0.2,609.0
IDCJAC0001,009021,1995,0.0,20.6,15.4,10.6,138.6,122.8,217.6,76.0,55.4,87.2,46.6,2.4,793.2
IDCJAC0001,009021,1996,1.8,0.4,4.8,16.6,50.0,232.0,217.6,117.8,133.6,53.2,44.6,16.8,889.2
IDCJAC0001,009021,1997,0.8,8.0,29.8,28.2,78.8,110.4,125.0,128.2,105.6,31.6,6.6,0.0,653.0
IDCJAC0001,009021,1998,2.6,0.0,29.8,12.4,78.8,128.4,103.0,155.6,114.4,36.4,13.2,9.6,684.2
IDCJAC0001,009021,1999,45.6,0.6,27.4,13.8,111.4,137.8,116.0,156.6,91.8,78.8,4.8,8.4,793.0
IDCJAC0001,009021,2000,102.4,0.2,30.0,41.0,20.8,95.4,216.8,130.0,45.4,5.4,19.0,0.6,707.0
IDCJAC0001,009021,2001,0.8,1.8,2.6,5.0,99.0,56.2,183.8,120.8,98.0,27.0,22.2,5.8,623.0
IDCJAC0001,009021,2002,10.2,1.0,4.0,76.4,65.6,138.2,134.4,79.2,75.0,38.4,23.6,2.2,648.2
IDCJAC0001,009021,2003,0.6,19.6,60.4,44.8,84.4,158.2,154.4,121.0,95.4,22.2,46.4,2.8,810.2
IDCJAC0001,009021,2004,0.0,9.2,0.4,6.0,118.0,110.0,101.6,149.6,29.2,41.0,41.0,3.2,609.2
IDCJAC0001,009021,2005,1.0,2.8,52.8,20.8,153.2,250.2,63.4,119.2,84.8,50.6,15.4,5.8,820.0
IDCJAC0001,009021,2006,28.2,24.0,5.8,32.4,43.6,27.8,80.2,124.6,65.6,24.4,19.2,3.8,479.6
IDCJAC0001,009021,2007,20.2,2.8,5.4,70.6,68.6,53.4,193.4,113.0,97.2,46.6,5.2,16.2,692.6
IDCJAC0001,009021,2008,0.0,39.6,16.2,135.0,59.8,170.0,213.6,19.0,66.8,33.8,69.0,5.4,828.2
IDCJAC0001,009021,2009,12.6,5.4,6.0,6.8,49.6,131.4,145.4,129.0,93.2,4.0,32.4,0.0,615.8
IDCJAC0001,009021,2010,0.0,0.0,43.2,23.2,88.6,47.2,144.6,60.0,27.8,25.2,7.6,16.0,483.4
IDCJAC0001,009021,2011,43.2,0.4,0.0,26.2,58.6,143.2,164.6,127.8,102.4,63.4,38.6,67.4,835.8
IDCJAC0001,009021,2012,27.4,19.0,0.0,53.2,39.8,134.4,30.6,117.8,103.8,13.8,84.8,24.8,649.4
IDCJAC0001,009021,2013,8.2,1.0,60.2,7.8,112.2,23.0,119.2,160.6,172.4,32.4,6.2,0.8,704.0
IDCJAC0001,009021,2014,0.4,0.0,4.4,18.6,125.2,92.2,139.2,109.6,70.2,34.2,26.6,0.2,620.8
IDCJAC0001,009021,2015,0.4,28.4,22.0,56.0,68.8,100.2,98.8,102.8,46.8,19.2,17.4,17.4,578.2
IDCJAC0001,009021,2016,23.4,0.8,21.4,61.6,106.0,86.4,129.4,131.6,61.8,37.8,5.6,8.6,674.4
IDCJAC0001,009021,2017,39.8,89.8,19.8,0.0,57.0,54.8,181.8,149.2,81.2,26.0,1.8,28.2,729.4
IDCJAC0001,009021,2018,92.0,0.4,1.4,10.8,72.0,129.0,180.6,176.8,39.0,36.2,4.8,0.8,743.8
IDCJAC0001,009021,2019,5.8,0.8,4.8,35.2,12.4,175.0,101.0,117.2,31.8,23.4,22.4,2.2,532.0
IDCJAC0001,009021,2020,1.4,20.2,28.0,15.2,109.8,104.2,71.2,99.4,81.0,13.2,88.8,3.8,636.2
IDCJAC0001,009021,2021,0.0,28.6,32.6,34.2,116.0,103.2,262.8,51.2,64.2,97.6,6.0,2.6,799.0
IDCJAC0001,009021,2022,0.0,1.8,4.8,58.4,76.6,68.4,124.2,172.6,101.4,31.6,27.8,1.0,668.6
IDCJAC0001,009021,2023,0.0,0.0,42.6,39.4,29.4,199.2,122.8,49.8,58.2,6.4,6.2,0.0,554.0
IDCJAC0001,009021,2024,0.8,2.8,1.4,0.0,73.4,136.6,138.2,152.0,48.8,50.0,12.8,2.6,619.4
IDCJAC0001,009021,2025,3.6,0.2,27.6,7.2,58.6,159.0,174.0,202.4,97.2,53.6,8.2,17.0,808.6
IDCJAC0001,009021,2026,0.2,6.6,null,null,null,null,null,null,null,null,null,null,null
