Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,066052,2014,28.1,67.0,147.6,130.1,40.8,102.2,14.4,240.6,78.2,96.2,29.4,111.7,1086.3
IDCJAC0001,066052,2015,191.8,62.4,66.7,400.6,118.9,134.6,67.1,77.9,122.6,34.8,126.2,136.0,1539.6
IDCJAC0001,066052,2016,277.9,78.4,228.3,69.0,11.8,301.6,105.7,148.2,86.8,41.4,28.8,61.4,1439.3
IDCJAC0001,066052,2017,63.2,185.0,245.7,95.4,56.5,176.0,23.0,32.6,2.0,64.2,89.5,55.0,1088.1
IDCJAC0001,066052,2018,49.9,92.2,117.4,54.7,34.5,276.4,8.6,9.8,76.0,156.6,115.3,93.3,1084.7
IDCJAC0001,066052,2019,45.3,92.0,265.1,16.8,19.8,244.6,67.0,70.0,99.6,24.0,31.7,8.5,984.4
IDCJAC0001,066052,2020,59.8,389.5,170.3,36.4,152.1,116.8,175.7,87.2,34.8,89.1,76.7,121.6,1510.0
IDCJAC0001,066052,2021,98.0,120.1,396.5,61.5,75.8,94.1,41.4,98.2,50.9,62.4,142.6,159.4,1400.9
IDCJAC0001,066052,2022,121.8,422.1,562.6,326.2,230.0,24.2,389.4,86.0,102.5,225.2,65.2,64.8,2620.0
IDCJAC0001,066052,2023,139.0,168.2,56.6,137.2,94.0,16.9,32.9,81.2,26.5,36.4,125.6,167.4,1081.9
IDCJAC0001,066052,2024,106.8,133.4,35.4,255.6,254.4,398.2,86.2,54.7,50.1,51.4,140.6,59.4,1626.2
IDCJAC0001,066052,2025,167.4,70.9,159.9,161.6,249.4,34.6,185.2,438.0,189.2,28.9,43.1,25.0,1753.2
IDCJAC0001,066052,2026,141.3,95.9,null,null,null,null,null,null,null,null,null,null,null
